id,region,original_name,before,level,matched_on,suggested_name,confidence,rationale,final_name,decision
164,japan,ブルーバードカップ,ブルーバードカップ,needs_translation,,蓝鸟杯,medium,ブルーバード意译为蓝鸟，カップ按惯例译杯；复核通过。,蓝鸟杯,通过
184,japan,スパーキングレディーカップ （ホクトベガメモリアル）,スパーキングレディーカップ （ホクトベガメモリアル）,needs_translation,,闪耀女士杯（北斗织姬纪念）,medium,スパーキング译闪耀、レディーカップ按レディス→女士惯例译女士杯，括号内ホクトベガ沿用马名惯译北斗织姬，メモリアル→纪念；复核通过。,闪耀女士杯（北斗织姬纪念）,通过
186,japan,クラスターカップ,クラスターカップ,needs_translation,,克拉斯特杯,low,クラスター含义（星团/群集）不确定，暂音译为克拉斯特，カップ→杯；复核通过。,克拉斯特杯,通过
188,japan,ブリーダーズゴールドカップ,ブリーダーズゴールドカップ,needs_translation,,育马者金杯,high,ブリーダーズ沿用育马者杯惯例译育马者，ゴールド→金，カップ→杯；复核通过。,育马者金杯,通过
190,japan,サマーチャンピオン,サマーチャンピオン,needs_translation,,夏季冠军,high,サマー意译夏季，チャンピオン按冠军杯惯例核心词译冠军；复核后修正；补足赛事名称中的“赛”，避免仅呈现头衔名词。,夏季冠军赛,已修正
192,japan,オーバルスプリント,オーバルスプリント,needs_translation,,椭圆短途赛,medium,オーバル意译椭圆（指椭圆形赛道），スプリント按短途锦标惯例译短途；复核后修正；采用现有中文赛马会话中的“椭圆短途锦标”结构。,椭圆短途锦标,已修正
194,japan,マリーンカップ,マリーンカップ,needs_translation,,海洋杯,high,マリーン意译海洋，カップ→杯；复核通过。,海洋杯,通过
195,japan,レディスプレリュード,レディスプレリュード,needs_translation,,女士序曲,medium,レディス按惯例译女士，プレリュード意译序曲（前奏赛）；复核通过。,女士序曲,通过
210,united_states,ROBERT J. FRANKEL S.,ROBERT J. FRANKEL S.,history,Robert J. Frankel S,罗伯特·J·弗兰克尔锦标,high,历史赛事已上线译名（Robert J. Frankel S）；复核通过。,罗伯特·J·弗兰克尔锦标,通过
211,united_states,SAN VICENTE S.,SAN VICENTE S.,history,San Vicente S,圣维森特锦标,high,历史赛事已上线译名（San Vicente S）；复核通过。,圣维森特锦标,通过
